,actor_name,film,film_id
0,Penelope Guiness,Academy Dinosaur,1
1,Christian Gable,Academy Dinosaur,1
2,Lucille Tracy,Academy Dinosaur,1
3,Sandra Peck,Academy Dinosaur,1
4,Johnny Cage,Academy Dinosaur,1
5,Mena Temple,Academy Dinosaur,1
6,Warren Nolte,Academy Dinosaur,1
7,Oprah Kilmer,Academy Dinosaur,1
8,Rock Dukakis,Academy Dinosaur,1
9,Mary Keitel,Academy Dinosaur,1
10,Bob Fawcett,Ace Goldfinger,2
11,Minnie Zellweger,Ace Goldfinger,2
12,Sean Guiness,Ace Goldfinger,2
13,Chris Depp,Ace Goldfinger,2
14,Nick Wahlberg,Adaptation Holes,3
15,Bob Fawcett,Adaptation Holes,3
16,Cameron Streep,Adaptation Holes,3
17,Ray Johansson,Adaptation Holes,3
18,Julianne Dench,Adaptation Holes,3
19,Jodie Degeneres,Affair Prejudice,4
20,Scarlett Damon,Affair Prejudice,4
21,Kenneth Pesci,Affair Prejudice,4
22,Fay Winslet,Affair Prejudice,4
23,Oprah Kilmer,Affair Prejudice,4
24,Gary Phoenix,African Egg,5
25,Dustin Tautou,African Egg,5
26,Matthew Leigh,African Egg,5
27,Matthew Carrey,African Egg,5
28,Thora Temple,African Egg,5
29,Kirsten Paltrow,Agent Truman,6
30,Sandra Kilmer,Agent Truman,6
31,Jayne Neeson,Agent Truman,6
32,Warren Nolte,Agent Truman,6
33,Morgan Williams,Agent Truman,6
34,Kenneth Hoffman,Agent Truman,6
35,Reese West,Agent Truman,6
36,Jim Mostel,Airplane Sierra,7
37,Richard Penn,Airplane Sierra,7
38,Oprah Kilmer,Airplane Sierra,7
39,Mena Hopper,Airplane Sierra,7
40,Michael Bolger,Airplane Sierra,7
41,Fay Kilmer,Airport Pollock,8
42,Gene Willis,Airport Pollock,8
43,Susan Davis,Airport Pollock,8
44,Lucille Dee,Airport Pollock,8
45,Christian Gable,Alabama Devil,9
46,Elvis Marx,Alabama Devil,9
47,Rip Crawford,Alabama Devil,9
48,Mena Temple,Alabama Devil,9
49,Rip Winslet,Alabama Devil,9
50,Warren Nolte,Alabama Devil,9
51,Greta Keitel,Alabama Devil,9
52,William Hackman,Alabama Devil,9
53,Meryl Allen,Alabama Devil,9
54,Alec Wayne,Aladdin Calendar,10
55,Judy Dean,Aladdin Calendar,10
56,Val Bolger,Aladdin Calendar,10
57,Ray Johansson,Aladdin Calendar,10
58,Renee Tracy,Aladdin Calendar,10
59,Jada Ryder,Aladdin Calendar,10
60,Greta Malden,Aladdin Calendar,10
61,Rock Dukakis,Aladdin Calendar,10
62,Johnny Cage,Alamo Videotape,11
63,Scarlett Damon,Alamo Videotape,11
64,Sean Guiness,Alamo Videotape,11
65,Michael Bening,Alamo Videotape,11
66,Val Bolger,Alaska Phantom,12
67,Burt Posey,Alaska Phantom,12
68,Sidney Crowe,Alaska Phantom,12
69,Sylvester Dern,Alaska Phantom,12
70,Albert Johansson,Alaska Phantom,12
71,Gene Mckellen,Alaska Phantom,12
72,Jeff Silverstone,Alaska Phantom,12
73,Cary Mcconaughey,Ali Forever,13
74,Christopher Berry,Ali Forever,13
75,Kenneth Torn,Ali Forever,13
76,Morgan Mcdormand,Ali Forever,13
77,Jon Chase,Ali Forever,13
78,Woody Hoffman,Alice Fantasia,14
79,Minnie Zellweger,Alice Fantasia,14
80,Morgan Williams,Alice Fantasia,14
81,Rock Dukakis,Alice Fantasia,14
82,Burt Dukakis,Alien Center,15
83,Kenneth Paltrow,Alien Center,15
84,Sidney Crowe,Alien Center,15
85,Renee Tracy,Alien Center,15
86,Humphrey Willis,Alien Center,15
87,Mena Hopper,Alien Center,15
88,Karl Berry,Alley Evolution,16
89,Jude Cruise,Alley Evolution,16
90,Albert Johansson,Alley Evolution,16
91,Gregory Gooding,Alley Evolution,16
92,John Suvari,Alley Evolution,16
93,Ed Chase,Alone Trip,17
94,Karl Berry,Alone Trip,17
95,Uma Wood,Alone Trip,17
96,Woody Jolie,Alone Trip,17
97,Spencer Depp,Alone Trip,17
